Fecha,Hora,Divisa,Importancia,Evento,Actual,Prevision,Anterior
17 de mayo de 2021",02:30,  AUD,,Actas de la reunión de política monetaria del Banco de la Reserva de Australia  , , , 
17 de mayo de 2021",07:00,  GBP,,"Ingresos medios de los trabajadores, bonus incluidos (Mar)","4,0%","4,5%","4,5%"
17 de mayo de 2021",07:00,  GBP,,Evolución del desempleo (Abr),"-15,1K", ,"-19,4K"
17 de mayo de 2021",13:30,  USD,,Permisos de construcción (Abr),"1,760M","1,770M","1,755M"
17 de mayo de 2021",15:00,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
18 de mayo de 2021",07:00,  GBP,,IPC (Anual) (Abr),"1,5%","1,4%","0,7%"
18 de mayo de 2021",10:00,  EUR,,IPC en la zona euro (Anual) (Abr),"1,6%","1,6%","1,3%"
18 de mayo de 2021",13:30,  CAD,,IPC subyacente (Mensual) (Abr),"0,5%", ,"0,3%"
18 de mayo de 2021",15:30,  USD,,Inventarios de petróleo crudo de la AIE,"1,321M","1,623M","-0,427M"
18 de mayo de 2021",19:00,  USD,,Actas de la reunión del FOMC  , , , 
19 de mayo de 2021",02:30,  AUD,,Cambio del empleo (Abr),"-30,6K","15,0K","77,0K"
19 de mayo de 2021",02:30,  CNY,,Tasa de préstamo preferencial del PBoC,"3,85%", ,"3,85%"
19 de mayo de 2021",03:00,  NZD,,Publicación de los presupuestos anuales  , , , 
19 de mayo de 2021",13:00,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
19 de mayo de 2021",13:30,  USD,,Nuevas peticiones de subsidio por desempleo,444K,450K,478K
19 de mayo de 2021",13:30,  USD,,Índice manufacturero de la Fed de Filadelfia (May),"31,5","43,0","50,2"
20 de mayo de 2021",02:30,  AUD,,Ventas minoristas (Mensual) (Abr)  ,"1,1%", ,"1,3%"
20 de mayo de 2021",07:00,  GBP,,Ventas minoristas (Mensual) (Abr),"9,2%","4,5%","5,1%"
20 de mayo de 2021",08:30,  EUR,,PMI manufacturero de Alemania (May)  ,"64,0","65,9","66,2"
20 de mayo de 2021",09:30,  GBP,,PMI compuesto (May)  ,"62,0","60,0","60,0"
20 de mayo de 2021",09:30,  GBP,,PMI manufacturero (May)  ,"66,1","60,7","60,7"
20 de mayo de 2021",09:30,  GBP,,PMI de servicios (May)  ,"61,8","60,1","60,1"
20 de mayo de 2021",12:00,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
20 de mayo de 2021",13:30,  CAD,,Ventas minoristas subyacentes (Mensual) (Mar),"4,3%","2,2%","4,8%"
20 de mayo de 2021",15:00,  USD,,Ventas de viviendas de segunda mano (Abr),"5,85M","6,09M","6,01M"
21 de mayo de 2021",11:00,  EUR,,Cumbre de líderes de la UE  , , , 
21 de mayo de 2021",15:15,  GBP,,Audiencia del Comité de Hacienda del Banco de Inglaterra, , , 
21 de mayo de 2021",15:30,  GBP,,Comparecencia del gob Bailey del BoE  , , , 
24 de mayo de 2021",07:00,  EUR,,PIB de Alemania (Trimestral) (1T),"-1,8%","-1,7%","0,3%"
24 de mayo de 2021",09:00,  EUR,,Índice Ifo de confianza empresarial en Alemania (May),"99,2","98,2","96,6"
24 de mayo de 2021",11:00,  EUR,,Cumbre de líderes de la UE  , , , 
24 de mayo de 2021",15:00,  USD,,Confianza del consumidor de The Conference Board (May),"117,2","119,2","117,5"
24 de mayo de 2021",15:00,  USD,,Ventas de viviendas nuevas (Abr),863K,970K,917K
25 de mayo de 2021",03:00,  NZD,,Decisión de tipos de interés,"0,25%","0,25%","0,25%"
25 de mayo de 2021",03:00,  NZD,,Anuncio de tipos de interés del Banco de la Reserva de Nueva Zelanda  , , , 
25 de mayo de 2021",04:00,  NZD,,Rueda de prensa del RBNZ  , , , 
25 de mayo de 2021",15:30,  USD,,Inventarios de petróleo crudo de la AIE,"-1,662M","-1,050M","-0,426M"
26 de mayo de 2021",13:30,  USD,,Pedidos de bienes duraderos (subyacente) (Mensual) (Abr),"1,0%","0,8%","3,2%"
26 de mayo de 2021",13:30,  USD,,PIB (Trimestral) (1T)  ,"6,4%","6,5%","6,4%"
26 de mayo de 2021",13:30,  USD,,Nuevas peticiones de subsidio por desempleo,406K,425K,444K
26 de mayo de 2021",15:00,  USD,,Venta de viviendas pendientes (Mensual) (Abr),"-4,4%","0,8%","1,7%"
27 de mayo de 2021",13:30,  USD,,Pedidos de bienes duraderos (subyacente) (Mensual) (Abr),"1,0%","0,8%","3,2%"
27 de mayo de 2021",13:30,  USD,,PIB (Trimestral) (1T)  ,"6,4%","6,5%","6,4%"
27 de mayo de 2021",13:30,  USD,,Nuevas peticiones de subsidio por desempleo,406K,425K,444K
27 de mayo de 2021",15:00,  USD,,Venta de viviendas pendientes (Mensual) (Abr),"-4,4%","0,8%","1,7%"
28 de mayo de 2021",13:30,  USD,,Precios del gasto en consumo personal subyacente (Mensual) (Abr),"0,7%","0,6%","0,4%"
28 de mayo de 2021",19:00,  USD,,Presupuesto federal de EE.UU.,"-1.837,0B", ,"-966,0B"
31 de mayo de 2021",02:00,  CNY,,PMI manufacturero (May),"51,0","51,1","51,1"
31 de mayo de 2021",13:00,  EUR,,IPC de Alemania (Anual) (May)  ,"2,5%","2,3%","2,0%"
1 de junio de 2021",02:45,  CNY,,PMI manufacturero de Caixin (May),"52,0","51,9","51,9"
1 de junio de 2021",05:30,  AUD,,Decisión de tipos de interés (Jun),"0,10%","0,10%","0,10%"
1 de junio de 2021",05:30,  AUD,,Comunicado sobre tipos del RBA  , , , 
1 de junio de 2021",08:55,  EUR,,PMI manufacturero de Alemania (May),"64,4","64,0","66,2"
1 de junio de 2021",08:55,  EUR,,Cambio del desempleo en Alemania (May),-15K,-9K,8K
1 de junio de 2021",09:30,  GBP,,PMI manufacturero (May),"65,6","66,1","66,1"
1 de junio de 2021",10:00,  EUR,,IPC en la zona euro (Anual) (May)  ,"2,0%","1,9%","1,6%"
1 de junio de 2021",13:30,  CAD,,PIB (Mensual) (Mar),"1,1%","1,0%","0,4%"
1 de junio de 2021",15:00,  USD,,PMI manufacturero del ISM (May),"61,2","60,9","60,7"
1 de junio de 2021",16:00,  GBP,,Comparecencia del gob Bailey del BoE  , , , 
2 de junio de 2021",02:30,  AUD,,PIB (Trimestral) (1T),"1,8%","1,5%","3,2%"
2 de junio de 2021",16:00,  GBP,,Comparecencia del gob Bailey del BoE  , , , 
2 de junio de 2021",17:00,  GBP,,Comparecencia del gob Bailey del BoE  , , , 
2 de junio de 2021",18:10,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
3 de junio de 2021",02:30,  AUD,,Ventas minoristas (Mensual) (Abr),"1,1%","1,1%","1,1%"
3 de junio de 2021",09:30,  GBP,,PMI compuesto (May),"62,9","62,0","62,0"
3 de junio de 2021",09:30,  GBP,,PMI de servicios (May),"62,9","61,8","61,8"
3 de junio de 2021",13:15,  USD,,Cambio del empleo no agrícola ADP (May),978K,650K,654K
3 de junio de 2021",13:30,  USD,,Nuevas peticiones de subsidio por desempleo,385K,390K,405K
3 de junio de 2021",15:00,  USD,,PMI no manufacturero del ISM (May),"64,0","63,0","62,7"
3 de junio de 2021",16:00,  USD,,Inventarios de petróleo crudo de la AIE,"-5,080M","-2,443M","-1,662M"
3 de junio de 2021",17:00,  GBP,,Comparecencia del gob Bailey del BoE  , , , 
4 de junio de 2021",05:30,  INR,,Decisión de tipos de interés,"4,00%","4,00%","4,00%"
4 de junio de 2021",08:00,  NZD,,Declaraciones del gobernador Orr del RBNZ  , , , 
4 de junio de 2021",09:30,  GBP,,PMI del sector de la construcción (May),"64,2","62,3","61,6"
4 de junio de 2021",12:00,  USD,,"Declaraciones Powell, presidente de la Fed  ", , , 
4 de junio de 2021",12:00,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
4 de junio de 2021",13:30,  USD,,Nóminas no agrícolas (May),559K,650K,278K
4 de junio de 2021",13:30,  USD,,Tasa de desempleo (May),"5,8%","5,9%","6,1%"
4 de junio de 2021",13:30,  CAD,,Cambio del empleo (May),"-68,0K","-20,0K","-207,1K"
4 de junio de 2021",15:00,  CAD,,PMI de Ivey (May),"64,7", ,"60,6"
7 de junio de 2021",00:50,  JPY,,PIB (Trimestral) (1T),"-1,0%","-1,2%","2,8%"
7 de junio de 2021",10:00,  EUR,,Índice ZEW de confianza inversora en Alemania (Jun),"79,8","86,0","84,4"
7 de junio de 2021",15:00,  USD,,Encuesta JOLTs de ofertas de empleo (Abr),"9,286M","8,300M","8,288M"
7 de junio de 2021",17:00,  USD,,Previsión energética a corto plazo de la EIA  , , , 
8 de junio de 2021",15:00,  CAD,,Decisión de tipos de interés,"0,25%","0,25%","0,25%"
8 de junio de 2021",15:30,  USD,,Inventarios de petróleo crudo de la AIE,"-5,241M","-2,036M","-5,080M"
8 de junio de 2021",Aprox.,  CAD,,Rueda de prensa Banco de Canadá  , , , 
9 de junio de 2021",12:45,  EUR,,Tipo de la facilidad de depósito (Jun),"-0,50%","-0,50%","-0,50%"
9 de junio de 2021",12:45,  EUR,,Tipo de facilidad marginal de crédito del BCE,"0,25%", ,"0,25%"
9 de junio de 2021",12:45,  EUR,,Comunicado del BCE sobre política monetaria  , , , 
9 de junio de 2021",12:45,  EUR,,Decisión del BCE sobre tipos de interés (Jun),"0,00%","0,00%","0,00%"
9 de junio de 2021",13:30,  USD,,IPC subyacente (Mensual) (May),"0,7%","0,4%","0,9%"
9 de junio de 2021",13:30,  USD,,IPC (Anual) (May),"5,0%","4,7%","4,2%"
9 de junio de 2021",13:30,  USD,,IPC (Mensual) (May),"0,6%","0,4%","0,8%"
9 de junio de 2021",13:30,  USD,,Nuevas peticiones de subsidio por desempleo,376K,370K,405K
9 de junio de 2021",13:30,  EUR,,Rueda de prensa del BCE  , , , 
10 de junio de 2021",07:00,  GBP,,PIB (Mensual),"2,3%","2,2%","2,1%"
10 de junio de 2021",07:00,  GBP,,Producción manufacturera (Mensual) (Abr),"-0,3%","1,5%","2,1%"
10 de junio de 2021",07:00,  GBP,,PIB mensual a 3M / Evolución a 3M,"1,5%", ,"-1,5%"
10 de junio de 2021",09:30,  GBP,,Comparecencia del gob Bailey del BoE  , , , 
10 de junio de 2021",14:00,  GBP,,Comparecencia del gob Bailey del BoE  , , , 
11 de junio de 2021",02:30,  AUD,,Actas de la reunión de política monetaria del Banco de la Reserva de Australia  , , , 
11 de junio de 2021",07:00,  GBP,,"Ingresos medios de los trabajadores, bonus incluidos (Abr)","5,6%","4,9%","4,3%"
11 de junio de 2021",07:00,  GBP,,Evolución del desempleo (May),"-92,6K", ,"-55,8K"
11 de junio de 2021",07:00,  EUR,,IPC de Alemania (Anual) (May),"2,5%","2,5%","2,0%"
11 de junio de 2021",13:15,  GBP,,Comparecencia del gob Bailey del BoE  , , , 
11 de junio de 2021",13:30,  USD,,Ventas minoristas subyacentes (Mensual) (May),"-0,7%","0,2%","-0,8%"
11 de junio de 2021",13:30,  USD,,IPP (Mensual) (May),"0,8%","0,6%","0,6%"
11 de junio de 2021",13:30,  USD,,Ventas minoristas (Mensual) (May),"-1,3%","-0,8%","0,9%"
14 de junio de 2021",07:00,  GBP,,IPC (Anual) (May),"2,1%","1,8%","1,5%"
14 de junio de 2021",08:00,  CNY,,Índice de Producción Industrial (Anual) (May),"8,8%","9,0%","9,8%"
14 de junio de 2021",13:30,  USD,,Permisos de construcción (May),"1,681M","1,730M","1,733M"
14 de junio de 2021",13:30,  CAD,,IPC subyacente (Mensual) (May),"0,4%","0,4%","0,5%"
14 de junio de 2021",15:00,  USD,,"Comparecencia de Janet Yellen, presidenta de la Fed  ", , , 
14 de junio de 2021",15:30,  USD,,Inventarios de petróleo crudo de la AIE,"-7,355M","-3,290M","-5,241M"
14 de junio de 2021",19:00,  USD,,Proyecciones económicas del FOMC  , , , 
14 de junio de 2021",19:00,  USD,,Comunicado del FOMC  , , , 
14 de junio de 2021",19:00,  USD,,Decisión de tipos de interés,"0,25%","0,25%","0,25%"
14 de junio de 2021",19:30,  USD,,Rueda de prensa del FOMC  , , , 
14 de junio de 2021",23:45,  NZD,,PIB (Trimestral) (1T),"1,6%","0,5%","-1,0%"
15 de junio de 2021",02:30,  AUD,,Cambio del empleo (May),"115,2K","30,0K","-30,6K"
15 de junio de 2021",08:30,  CHF,,Decisión de tipos de interés,"-0,75%", ,"-0,75%"
15 de junio de 2021",08:30,  CHF,,Evaluación de política monetaria del SNB  , , , 
15 de junio de 2021",09:30,  CHF,,Rueda de prensa del SNB  , , , 
15 de junio de 2021",10:00,  EUR,,IPC en la zona euro (Anual) (May),"2,0%","2,0%","1,6%"
15 de junio de 2021",13:30,  USD,,Nuevas peticiones de subsidio por desempleo,412K,359K,375K
15 de junio de 2021",13:30,  USD,,Índice manufacturero de la Fed de Filadelfia (Jun),"30,7","31,0","31,5"
15 de junio de 2021",15:00,  USD,,"Comparecencia de Janet Yellen, presidenta de la Fed  ", , , 
15 de junio de 2021",Aprox.,  JPY,,Declaraciones de política monetaria del BoJ  , , , 
16 de junio de 2021",07:00,  GBP,,Ventas minoristas (Mensual) (May),"-1,4%","1,6%","9,2%"
16 de junio de 2021",07:30,  JPY,,Rueda de prensa del Banco de Japón  , , , 
17 de junio de 2021",02:30,  AUD,,Ventas minoristas (Mensual) (May)  ,"0,1%","1,1%","1,1%"
17 de junio de 2021",02:30,  CNY,,Tasa de préstamo preferencial del PBoC,"3,85%", ,"3,85%"
17 de junio de 2021",13:30,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
17 de junio de 2021",15:15,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
18 de junio de 2021",12:00,  BRL,,Actas de la reunión del CMP del Banco Central de Brasil  , , , 
18 de junio de 2021",15:00,  USD,,Ventas de viviendas de segunda mano (May),"5,80M","5,72M","5,85M"
18 de junio de 2021",19:00,  USD,,"Comparecencia de Powell, presidente de la Fed  ", , , 
21 de junio de 2021",08:30,  EUR,,PMI manufacturero de Alemania (Jun)  ,"64,9","63,0","64,4"
21 de junio de 2021",09:30,  GBP,,PMI compuesto  ,"61,7","62,8","62,9"
21 de junio de 2021",09:30,  GBP,,PMI manufacturero  ,"64,2","64,0","65,6"
21 de junio de 2021",09:30,  GBP,,PMI de servicios  ,"61,7","63,0","62,9"
21 de junio de 2021",13:30,  CAD,,Ventas minoristas subyacentes (Mensual) (Abr),"-7,2%","-5,0%","4,3%"
21 de junio de 2021",15:00,  USD,,Ventas de viviendas nuevas (May),769K,870K,817K
21 de junio de 2021",15:30,  USD,,Inventarios de petróleo crudo de la AIE,"-7,614M","-3,942M","-7,355M"
21 de junio de 2021",17:00,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
22 de junio de 2021",09:00,  EUR,,Índice Ifo de confianza empresarial en Alemania (Jun),"101,8","100,6","99,2"
22 de junio de 2021",11:00,  EUR,,Cumbre de líderes de la UE  , , , 
22 de junio de 2021",12:00,  GBP,,Decisión de tipos de interés (Jun),"0,10%","0,10%","0,10%"
22 de junio de 2021",12:00,  GBP,,Actas de la reunión de política monetaria del Banco de Inglaterra  , , , 
22 de junio de 2021",13:30,  USD,,Pedidos de bienes duraderos (subyacente) (Mensual) (May),"0,3%","0,8%","1,7%"
22 de junio de 2021",13:30,  USD,,PIB (Trimestral) (1T),"6,4%","6,4%","6,4%"
22 de junio de 2021",13:30,  USD,,Nuevas peticiones de subsidio por desempleo,411K,380K,418K
23 de junio de 2021",11:00,  EUR,,Cumbre de líderes de la UE  , , , 
23 de junio de 2021",13:30,  USD,,Precios del gasto en consumo personal subyacente (Mensual) (May),"0,5%","0,6%","0,7%"
28 de junio de 2021",05:10,  NZD,,Declaraciones del gobernador Orr del RBNZ  , , , 
28 de junio de 2021",13:00,  EUR,,IPC de Alemania (Anual) (Jun)  ,"2,3%","2,3%","2,5%"
28 de junio de 2021",14:40,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
28 de junio de 2021",15:00,  USD,,Confianza del consumidor de The Conference Board (Jun),"127,3","119,0","120,0"
29 de junio de 2021",02:00,  CNY,,PMI manufacturero (Jun),"50,9","50,8","51,0"
29 de junio de 2021",07:00,  GBP,,PIB (Trimestral) (1T),"-1,6%","-1,5%","1,3%"
29 de junio de 2021",07:00,  GBP,,PIB (Anual) (1T),"-6,1%","-6,1%","-7,8%"
29 de junio de 2021",08:55,  EUR,,Cambio del desempleo en Alemania (Jun),-38K,-20K,-19K
29 de junio de 2021",10:00,  EUR,,IPC en la zona euro (Anual) (Jun)  ,"1,9%","1,9%","2,0%"
29 de junio de 2021",13:15,  USD,,Cambio del empleo no agrícola ADP (Jun),692K,600K,886K
29 de junio de 2021",13:30,  CAD,,PIB (Mensual) (Abr),"-0,3%","-0,8%","1,3%"
29 de junio de 2021",15:00,  USD,,Venta de viviendas pendientes (Mensual) (May),"8,0%","-0,8%","-4,4%"
29 de junio de 2021",15:30,  USD,,Inventarios de petróleo crudo de la AIE,"-6,718M","-4,686M","-7,614M"
30 de junio de 2021",00:50,  JPY,,Encuesta Tankan: grandes empresas manufactureras (2T),14,15,5
30 de junio de 2021",00:50,  JPY,,Encuesta Tankan: grandes empresas no manufactureras (2T),1,3,-1
30 de junio de 2021",02:45,  CNY,,PMI manufacturero de Caixin (Jun),"51,3","51,8","52,0"
30 de junio de 2021",08:00,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
30 de junio de 2021",08:55,  EUR,,PMI manufacturero de Alemania (Jun),"65,1","64,9","64,4"
30 de junio de 2021",09:00,  GBP,,Comparecencia del gob Bailey del BoE  , , , 
30 de junio de 2021",09:30,  GBP,,PMI manufacturero (Jun),"63,9","64,2","64,2"
30 de junio de 2021",13:30,  USD,,Nuevas peticiones de subsidio por desempleo,364K,390K,415K
30 de junio de 2021",15:00,  USD,,PMI manufacturero del ISM (Jun),"60,6","61,0","61,2"
30 de junio de 2021",20:00,  GBP,,Comparecencia del gob Bailey del BoE  , , , 
1 de julio de 2021",13:30,  USD,,Nóminas no agrícolas (Jun),850K,700K,583K
1 de julio de 2021",13:30,  USD,,Tasa de desempleo (Jun),"5,9%","5,7%","5,8%"
1 de julio de 2021",13:30,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
2 de julio de 2021",02:30,  AUD,,Ventas minoristas (Mensual) (May),"0,4%","0,1%","1,1%"
2 de julio de 2021",09:30,  GBP,,PMI compuesto (Jun),"62,2","61,7","62,9"
2 de julio de 2021",09:30,  GBP,,PMI de servicios (Jun),"62,4","61,7","62,9"
2 de julio de 2021",10:00,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
2 de julio de 2021",12:30,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
5 de julio de 2021",05:30,  AUD,,Decisión de tipos de interés (Jul),"0,10%","0,10%","0,10%"
5 de julio de 2021",05:30,  AUD,,Comunicado sobre tipos del RBA  , , , 
5 de julio de 2021",09:30,  GBP,,PMI del sector de la construcción (Jun),"66,3","63,8","64,2"
5 de julio de 2021",10:00,  EUR,,Índice ZEW de confianza inversora en Alemania (Jul),"63,3","75,2","79,8"
5 de julio de 2021",15:00,  USD,,PMI no manufacturero del ISM (Jun),"60,1","63,5","64,0"
5 de julio de 2021",15:00,  USD,,Encuesta JOLTs de ofertas de empleo (May),"9,209M","9,388M","9,193M"
5 de julio de 2021",15:00,  CAD,,PMI de Ivey (Jun),"71,9", ,"64,7"
5 de julio de 2021",17:00,  USD,,Previsión energética a corto plazo de la EIA  , , , 
5 de julio de 2021",19:00,  USD,,Actas de la reunión del FOMC  , , , 
6 de julio de 2021",13:30,  USD,,Nuevas peticiones de subsidio por desempleo,373K,350K,371K
6 de julio de 2021",13:30,  EUR,,Actas de la reunión de política monetaria del BCE  , , , 
6 de julio de 2021",16:00,  USD,,Inventarios de petróleo crudo de la AIE,"-6,866M","-4,033M","-6,718M"
7 de julio de 2021",07:00,  GBP,,PIB (Mensual),"0,8%", ,"2,0%"
7 de julio de 2021",07:00,  GBP,,Producción manufacturera (Mensual) (May),"-0,1%","1,0%","-0,3%"
7 de julio de 2021",07:00,  GBP,,PIB mensual a 3M / Evolución a 3M,"3,6%", ,"1,5%"
7 de julio de 2021",11:00,  GBP,,Comparecencia del gob Bailey del BoE  , , , 
7 de julio de 2021",11:00,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
7 de julio de 2021",12:30,  EUR,,Actas de la reunión de política monetaria del BCE  , , , 
7 de julio de 2021",13:30,  CAD,,Cambio del empleo (Jun),"230,7K","195,0K","-68,0K"
7 de julio de 2021",16:00,  USD,,Informe de política monetaria de la Fed  , , , 
8 de julio de 2021",13:10,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
9 de julio de 2021",07:00,  EUR,,IPC de Alemania (Anual) (Jun),"2,3%","2,3%","2,5%"
9 de julio de 2021",08:30,  GBP,,Comparecencia del gob Bailey del BoE  , , , 
9 de julio de 2021",13:30,  USD,,IPC subyacente (Mensual) (Jun),"0,9%","0,4%","0,7%"
9 de julio de 2021",13:30,  USD,,IPC (Mensual) (Jun),"0,9%","0,5%","0,6%"
9 de julio de 2021",13:30,  USD,,IPC (Anual) (Jun),"5,4%","4,9%","5,0%"
11 de julio de 2021",03:00,  NZD,,Decisión de tipos de interés,"0,25%","0,25%","0,25%"
11 de julio de 2021",03:00,  NZD,,Anuncio de tipos de interés del Banco de la Reserva de Nueva Zelanda  , , , 
11 de julio de 2021",07:00,  GBP,,IPC (Anual) (Jun),"2,5%","2,2%","2,1%"
11 de julio de 2021",13:30,  USD,,IPP (Mensual) (Jun),"1,0%","0,6%","0,8%"
11 de julio de 2021",15:00,  CAD,,Informe de política monetaria del Banco de Canadá  , , , 
11 de julio de 2021",15:00,  CAD,,Decisión de tipos de interés,"0,25%","0,25%","0,25%"
11 de julio de 2021",15:30,  USD,,Inventarios de petróleo crudo de la AIE,"-7,897M","-4,359M","-6,866M"
11 de julio de 2021",16:00,  CAD,,Rueda de prensa Banco de Canadá  , , , 
11 de julio de 2021",17:00,  USD,,"Comparecencia de Powell, presidente de la Fed  ", , , 
13 de julio de 2021",02:30,  AUD,,Cambio del empleo (Jun),"29,1K","30,0K","115,2K"
13 de julio de 2021",03:00,  CNY,,PIB (Anual) (2T),"7,9%","8,1%","18,3%"
13 de julio de 2021",03:00,  CNY,,Índice de Producción Industrial (Anual) (Jun),"8,3%","7,8%","8,8%"
13 de julio de 2021",07:00,  GBP,,"Ingresos medios de los trabajadores, bonus incluidos (May)","7,3%","7,1%","5,7%"
13 de julio de 2021",07:00,  GBP,,Evolución del desempleo (Jun),"-114,8K", ,"-92,6K"
13 de julio de 2021",13:30,  USD,,Nuevas peticiones de subsidio por desempleo,360K,360K,386K
13 de julio de 2021",13:30,  USD,,Índice manufacturero de la Fed de Filadelfia (Jul),"21,9","28,0","30,7"
13 de julio de 2021",14:30,  USD,,"Comparecencia de Powell, presidente de la Fed  ", , , 
13 de julio de 2021",23:45,  NZD,,IPC (Trimestral) (2T),"1,3%","0,8%","0,8%"
14 de julio de 2021",04:00,  JPY,,Declaraciones de política monetaria del BoJ  , , , 
14 de julio de 2021",04:00,  JPY,,Perspectivas económicas del BoJ (Anual)  , , , 
14 de julio de 2021",07:30,  JPY,,Rueda de prensa del Banco de Japón  , , , 
14 de julio de 2021",10:00,  EUR,,IPC en la zona euro (Anual) (Jun),"1,9%","1,9%","2,0%"
14 de julio de 2021",13:30,  USD,,Ventas minoristas subyacentes (Mensual) (Jun),"1,3%","0,4%","-0,9%"
14 de julio de 2021",13:30,  USD,,Ventas minoristas (Mensual) (Jun),"0,6%","-0,4%","-1,7%"
14 de julio de 2021",16:30,  USD,,"Discurso de Joe Biden, presidente de EE.UU.  ", , , 
15 de julio de 2021",02:30,  AUD,,Actas de la reunión de política monetaria del Banco de la Reserva de Australia  , , , 
15 de julio de 2021",02:30,  CNY,,Tasa de préstamo preferencial del PBoC,"3,85%", ,"3,85%"
15 de julio de 2021",13:30,  USD,,Permisos de construcción (Jun),"1,598M","1,700M","1,683M"
16 de julio de 2021",02:30,  AUD,,Ventas minoristas (Mensual)  ,"-1,8%","-0,5%","0,4%"
16 de julio de 2021",15:30,  USD,,Inventarios de petróleo crudo de la AIE,"2,108M","-4,466M","-7,897M"
19 de julio de 2021",12:45,  EUR,,Tipo de la facilidad de depósito (Jul),"-0,50%","-0,50%","-0,50%"
19 de julio de 2021",12:45,  EUR,,Tipo de facilidad marginal de crédito del BCE,"0,25%", ,"0,25%"
19 de julio de 2021",12:45,  EUR,,Comunicado del BCE sobre política monetaria  , , , 
19 de julio de 2021",12:45,  EUR,,Decisión del BCE sobre tipos de interés (Jul),"0,00%","0,00%","0,00%"
19 de julio de 2021",13:30,  USD,,Nuevas peticiones de subsidio por desempleo,419K,350K,368K
19 de julio de 2021",13:30,  EUR,,Rueda de prensa del BCE  , , , 
19 de julio de 2021",15:00,  USD,,Ventas de viviendas de segunda mano (Jun),"5,86M","5,90M","5,78M"
20 de julio de 2021",07:00,  GBP,,Ventas minoristas (Mensual) (Jun),"0,5%","0,4%","-1,3%"
20 de julio de 2021",08:30,  EUR,,PMI manufacturero de Alemania (Jul)  ,"65,6","64,2","65,1"
20 de julio de 2021",09:30,  GBP,,PMI compuesto  ,"57,7","61,9","62,2"
20 de julio de 2021",09:30,  GBP,,PMI manufacturero  ,"60,4","62,7","63,9"
20 de julio de 2021",09:30,  GBP,,PMI de servicios  ,"57,8","62,0","62,4"
20 de julio de 2021",13:30,  CAD,,Ventas minoristas subyacentes (Mensual) (May),"-2,0%","-2,2%","-7,2%"
21 de julio de 2021",09:00,  EUR,,Índice Ifo de confianza empresarial en Alemania (Jul),"100,8","102,1","101,7"
21 de julio de 2021",15:00,  USD,,Ventas de viviendas nuevas (Jun),676K,800K,724K
26 de julio de 2021",09:00,  EUR,,Índice Ifo de confianza empresarial en Alemania (Jul),"100,8","102,1","101,7"
26 de julio de 2021",15:00,  USD,,Ventas de viviendas nuevas (Jun),676K,800K,724K
27 de julio de 2021",13:30,  USD,,Pedidos de bienes duraderos (subyacente) (Mensual) (Jun),"0,3%","0,8%","0,5%"
27 de julio de 2021",15:00,  USD,,Confianza del consumidor de The Conference Board (Jul),"129,1","123,9","128,9"
28 de julio de 2021",02:30,  AUD,,IPC (Trimestral) (2T),"0,8%","0,7%","0,6%"
28 de julio de 2021",13:30,  CAD,,IPC subyacente (Mensual) (Jun),"0,3%","0,4%","0,4%"
28 de julio de 2021",15:30,  USD,,Inventarios de petróleo crudo de la AIE,"-4,089M","-2,928M","2,108M"
28 de julio de 2021",19:00,  USD,,Comunicado del FOMC  , , , 
28 de julio de 2021",19:00,  USD,,Decisión de tipos de interés,"0,25%","0,25%","0,25%"
28 de julio de 2021",19:30,  USD,,Rueda de prensa del FOMC  , , , 
29 de julio de 2021",08:55,  EUR,,Cambio del desempleo en Alemania (Jul),-91K,-28K,-38K
29 de julio de 2021",12:30,  EUR,,Actas de la reunión de política monetaria del BCE  , , , 
29 de julio de 2021",13:00,  EUR,,IPC de Alemania (Anual) (Jul)  ,"3,8%","3,3%","2,3%"
29 de julio de 2021",13:30,  USD,,PIB (Trimestral) (2T)  ,"6,5%","8,5%","6,4%"
29 de julio de 2021",13:30,  USD,,Nuevas peticiones de subsidio por desempleo,400K,380K,424K
29 de julio de 2021",15:00,  USD,,Venta de viviendas pendientes (Mensual) (Jun),"-1,9%","0,3%","8,3%"
30 de julio de 2021",07:00,  EUR,,PIB de Alemania (Trimestral) (2T)  ,"1,5%","2,0%","-2,1%"
30 de julio de 2021",10:00,  EUR,,IPC en la zona euro (Anual) (Jul)  ,"2,2%","2,0%","1,9%"
